Name,Category,ImageUrl,Description (English),Description (Indonesian)
Minimalist Sofa,Sofas,https://i.ibb.co/6J7tmPDt/download-jpg.jpg,"Elevate your living space with our Minimalist Sofa, featuring a sleek white design that perfectly balances comfort and style. Set on a flat, sophisticated wooden base, this sofa combines modern elegance with timeless craftsmanship.

Features:

Exotic Teak Wood construction for durability and charm

Premium cushions for ultimate comfort

Dried export-quality wood, ready for worldwide shipping

Finish customized to your request

Perfect for contemporary living rooms, lounges, or stylish office spaces, this sofa stands out as a statement piece while remaining understated and versatile.","Tingkatkan ruang hunian Anda dengan Sofa Minimalis kami, menampilkan desain putih ramping yang secara sempurna menyeimbangkan kenyamanan dan gaya. Diletakkan di atas dasar kayu datar yang canggih, sofa ini memadukan keanggunan modern dengan keahlian abadi.

Fitur:

Konstruksi Kayu Jati Eksotis untuk daya tahan dan pesona

Bantalan premium untuk kenyamanan maksimal

Kayu kering kualitas ekspor, siap untuk pengiriman ke seluruh dunia

Finishing disesuaikan dengan permintaan Anda

Sempurna untuk ruang tamu kontemporer, lounge, atau ruang kantor bergaya, sofa ini menonjol sebagai elemen pernyataan sekaligus tetap sederhana dan serbaguna."
Elegant Teak Sofa,Sofas,https://i.ibb.co/Qv19CVyb/download-jpg.jpg,"Experience the subtle perfection of craftsmanship with a sofa designed to bring warmth and sophistication to any space.

Materials & Quality: Made from premium teak wood, paired with soft, comfortable cushions for lasting comfort.

Design & Finish: Finished according to your preference, ensuring a flawless look that complements any interior.

Measurements & Fit: Thoughtfully designed proportions to fit seamlessly in your living area while offering ample seating.

Additional Details: Crafted from dried, export-quality exotic wood, with stock readily available and worldwide shipping.","Rasakan kesempurnaan halus dari keahlian dengan sofa yang dirancang untuk menghadirkan kehangatan dan kecanggihan ke setiap ruang.

Bahan & Kualitas: Terbuat dari kayu jati premium, dipadukan dengan bantalan yang lembut dan nyaman untuk kenyamanan yang tahan lama.

Desain & Finishing: Diselesaikan sesuai preferensi Anda, memastikan tampilan sempurna yang melengkapi setiap interior.

Ukuran & Kesesuaian: Proporsi yang dirancang dengan cermat agar pas secara mulus di area ruang tamu Anda sekaligus menawarkan tempat duduk yang luas.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok yang siap tersedia dan pengiriman ke seluruh dunia."
Elysian Teak Sofa,Sofas,https://i.ibb.co/YFQJzPJN/download-jpg.jpg,"Indulge in the perfect blend of comfort and modern elegance with a sofa designed to enhance any living space.

Materials & Quality: Crafted from premium teak wood with plush cushions, offering lasting comfort and support.

Design & Finish: Sleek, contemporary design with smooth lines, providing a stylish and inviting seating experience.

Measurements & Fit: Thoughtfully sized to accommodate relaxation, conversation, or quiet moments in style.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Nikmati perpaduan sempurna antara kenyamanan dan keanggunan modern dengan sofa yang dirancang untuk memperindah setiap ruang tamu.

Bahan & Kualitas: Dibuat dari kayu jati premium dengan bantalan empuk, menawarkan kenyamanan dan dukungan yang tahan lama.

Desain & Finishing: Desain ramping dan kontemporer dengan garis-garis halus, memberikan pengalaman duduk yang bergaya dan mengundang.

Ukuran & Kesesuaian: Berukuran dengan cermat untuk menampung relaksasi, percakapan, atau momen tenang dengan gaya.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Royal Teak Comfort Sofa,Sofas,https://i.ibb.co/ZzKXyJ2w/download-jpg.jpg,"Embrace the perfect blend of elegance and relaxation with a sofa designed to elevate any living space.

Materials & Quality: Crafted from premium teak wood, complemented by soft, durable cushions for enduring comfort.

Design & Finish: Finished as requested, showcasing the natural grain and rich tones of the wood for a refined appearance.

Measurements & Fit: Spacious and inviting, offering a comfortable seating experience without overwhelming your room.

Additional Details: Made from dried, export-quality exotic wood, with stock ready and worldwide shipping available.","Rasakan perpaduan sempurna antara keanggunan dan kenyamanan dengan sofa yang dirancang untuk meningkatkan setiap ruang tamu.

Bahan & Kualitas: Dibuat dari kayu jati premium, dilengkapi dengan bantalan yang lembut dan tahan lama untuk kenyamanan yang abadi.

Desain & Finishing: Diselesaikan sesuai permintaan, menampilkan serat alami dan warna kayu yang kaya untuk tampilan yang elegan.

Ukuran & Kesesuaian: Luas dan mengundang, menawarkan pengalaman duduk yang nyaman tanpa membuat ruangan Anda terasa penuh.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, dengan stok siap dan pengiriman ke seluruh dunia tersedia."
Majestic Teak Sofa,Sofas,https://i.ibb.co/hF31GkMF/download-jpg.jpg,"Experience refined comfort and timeless craftsmanship with a sofa that brings both style and warmth to your home.

Materials & Quality: Constructed from premium teak wood, paired with plush cushions for lasting comfort.

Design & Finish: Finished to your preference, highlighting the natural beauty of the wood with a smooth, elegant look.

Measurements & Fit: Generously sized to provide a comfortable seating experience while fitting seamlessly into your living area.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Rasakan kenyamanan yang disempurnakan dan keahlian abadi dengan sofa yang menghadirkan gaya dan kehangatan ke rumah Anda.

Bahan & Kualitas: Dibuat dari kayu jati premium, dipadukan dengan bantalan empuk untuk kenyamanan tahan lama.

Desain & Finishing: Diselesaikan sesuai preferensi Anda, menonjolkan keindahan alami kayu dengan tampilan halus dan elegan.

Ukuran & Kesesuaian: Berukuran luas untuk memberikan pengalaman duduk yang nyaman sekaligus menyatu dengan mulus di area ruang tamu Anda.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, tersedia stok dan pengiriman ke seluruh dunia."
Warm Teak Plush Sofa,Sofas,https://i.ibb.co/gLt13mRX/download-jpg.jpg,"Sink into the inviting comfort of a sofa that combines rich, natural teak with soft, cozy cushions for a truly relaxing experience.

Materials & Quality: Made from high-quality teak wood, paired with plush, soft cushions that offer lasting comfort.

Design & Finish: Finished as requested, highlighting the warm, natural tones of the wood while maintaining a smooth, elegant look.

Measurements & Fit: Generously sized to provide a comfortable seating area without overpowering your living space.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping.","Tenggelam dalam kenyamanan sofa yang mengundang, menggabungkan kayu jati alami yang kaya dengan bantalan yang lembut dan nyaman untuk pengalaman bersantai yang sesungguhnya.

Bahan & Kualitas: Terbuat dari kayu jati berkualitas tinggi, dipadukan dengan bantalan empuk dan lembut yang menawarkan kenyamanan tahan lama.

Desain & Finishing: Diselesaikan sesuai permintaan, menonjolkan nuansa hangat dan alami kayu sambil mempertahankan tampilan yang halus dan elegan.

Ukuran & Kesesuaian: Berukuran luas untuk memberikan area duduk yang nyaman tanpa mendominasi ruang tamu Anda.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Teak Wood Armchair,Side Chairs,https://i.ibb.co/GvLHKk8X/download-jpg.jpg,"Add timeless elegance to any space with our Teak Wood Armchair. Crafted from exotic teak wood and complemented by a comfortable cushion, this chair combines durability with classic style. Its clean design makes it perfect as a standalone piece or as part of a seating arrangement.

Features:

Exotic teak wood construction, dried for export-quality durability

Cushioned seat for comfort

Finish customized to your request

Available for worldwide shipping

Perfect for living rooms, lounges, offices, or any space where style meets functionality.","Tambahkan keanggunan abadi ke setiap ruangan dengan Kursi Berlengan Kayu Jati kami. Dibuat dari kayu jati eksotis dan dilengkapi dengan bantalan yang nyaman, kursi ini memadukan daya tahan dengan gaya klasik. Desainnya yang bersih membuatnya sempurna sebagai elemen tunggal atau sebagai bagian dari pengaturan tempat duduk.

Fitur:

Konstruksi kayu jati eksotis, dikeringkan untuk daya tahan kualitas ekspor

Dudukan berbantalan untuk kenyamanan

Finishing disesuaikan dengan permintaan Anda

Tersedia untuk pengiriman ke seluruh dunia

Sempurna untuk ruang tamu, lounge, kantor, atau ruang apa pun di mana gaya bertemu fungsionalitas."
Teak Wood Armchair with Back Support,Side Chairs,https://i.ibb.co/jZW9LWpC/download-jpg.jpg,"Experience the perfect blend of comfort and elegance with our Teak Wood Armchair, featuring a supportive backrest that cradles you like a cushion without being one. The striking contrast of white upholstery and dark teak wood creates a refined, sophisticated look that enhances any space.

Features:

Exotic teak wood construction, dried for export-quality durability

Comfortable back support, designed for long-lasting comfort

Customizable finish to suit your style

Available for worldwide shipping

Ideal for living rooms, lounges, or stylish office corners, this chair stands out as both a functional and statement piece.","Rasakan perpaduan sempurna antara kenyamanan dan keanggunan dengan Kursi Berlengan Kayu Jati kami, yang dilengkapi sandaran punggung suportif yang memeluk Anda seperti bantal tanpa benar-benar menjadi bantal. Kontras mencolok antara pelapis putih dan kayu jati gelap menciptakan tampilan yang halus dan canggih yang memperindah setiap ruangan.

Fitur:

Konstruksi kayu jati eksotis, dikeringkan untuk daya tahan kualitas ekspor

Dukungan punggung yang nyaman, dirancang untuk kenyamanan tahan lama

Finishing yang dapat disesuaikan dengan gaya Anda

Tersedia untuk pengiriman ke seluruh dunia

Ideal untuk ruang tamu, lounge, atau sudut kantor yang bergaya, kursi ini menonjol sebagai furnitur yang fungsional sekaligus menjadi pernyataan gaya."
Mahogany Dining Chair,Side Chairs,https://i.ibb.co/XZTXP0kp/download-jpg.jpg,"Elevate your dining experience with our Mahogany Dining Chair, crafted from exotic mahogany wood for durability and style. Featuring a luxurious grey seat and a striking dark wood frame, its square-back design adds a modern, sophisticated touch to any dining space.

Features:

Exotic mahogany wood, dried for export-quality durability

Luxurious cushioned seat in grey

Square-back design for contemporary elegance

Customizable finish to your request

Worldwide shipping available

Perfect for formal dining rooms, upscale restaurants, or stylish home interiors, these chairs combine comfort with a refined, statement-making look.","Tingkatkan pengalaman bersantap Anda dengan Kursi Makan Mahoni kami, dibuat dari kayu mahoni eksotis untuk daya tahan dan gaya. Menampilkan dudukan abu-abu mewah dan rangka kayu gelap yang mencolok, desain sandaran persegi menambah sentuhan modern dan canggih pada ruang makan mana pun.

Fitur:

Kayu mahoni eksotis, dikeringkan untuk daya tahan kualitas ekspor

Dudukan empuk mewah berwarna abu-abu

Desain sandaran persegi untuk keanggunan kontemporer

Finishing dapat disesuaikan sesuai permintaan Anda

Pengiriman ke seluruh dunia tersedia

Sempurna untuk ruang makan formal, restoran mewah, atau interior rumah bergaya, kursi-kursi ini menggabungkan kenyamanan dengan tampilan yang halus dan penuh pernyataan."
Golden Accent Teak Dining Chair,Side Chairs,https://i.ibb.co/xK4qdwJ0/download-jpg.jpg,"Experience the perfect blend of elegance and comfort with a chair that brings sophistication to your dining space.

Materials & Quality: Crafted from premium teak wood, featuring plush seating for a comfortable experience.

Design & Finish: Finished as requested, with luxurious golden accents on all four legs adding a refined touch.

Measurements & Fit: Thoughtfully designed to provide comfortable seating while complementing any dining table.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Rasakan perpaduan sempurna antara keanggunan dan kenyamanan dengan kursi yang menghadirkan sentuhan sofistikasi pada ruang makan Anda.

Bahan & Kualitas: Dibuat dari kayu jati premium, dilengkapi dudukan empuk untuk pengalaman duduk yang nyaman.

Desain & Finishing: Diselesaikan sesuai permintaan, dengan aksen emas mewah pada keempat kaki yang menambah sentuhan elegan.

Ukuran & Kesesuaian: Dirancang dengan cermat untuk memberikan kenyamanan duduk sekaligus melengkapi meja makan apa pun.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, tersedia stok dan pengiriman ke seluruh dunia."
Midnight Teak Armchair,Side Chairs,https://i.ibb.co/V0CMs0Mc/download-jpg.jpg,"Discover the bold elegance of a chair that combines deep, dark teak with soft cushions for a sophisticated and comfortable seating experience.

Materials & Quality: Made from premium dark teak wood, paired with plush cushions for lasting comfort.

Design & Finish: Finished as requested, showcasing the rich, natural tones of the wood for a sleek, refined look.

Measurements & Fit: Designed for individual comfort, perfect as a stylish addition to any living or lounge area.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping.","Temukan keanggunan berani dari kursi yang memadukan kayu jati gelap yang dalam dengan bantalan lembut untuk pengalaman duduk yang canggih dan nyaman.

Bahan & Kualitas: Terbuat dari kayu jati gelap premium, dipadukan dengan bantalan empuk untuk kenyamanan tahan lama.

Desain & Finishing: Diselesaikan sesuai permintaan, menampilkan nuansa alami dan kaya dari kayu untuk tampilan yang ramping dan elegan.

Ukuran & Kesesuaian: Dirancang untuk kenyamanan individu, sempurna sebagai tambahan bergaya di area ruang tamu atau lounge mana pun.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Elegant Teak Lounge Armchair,Side Chairs,https://i.ibb.co/GQNrrY1Z/download-jpg.jpg,"Experience refined comfort with a chair designed for both style and relaxation, featuring a warm, inviting fabric that complements its dark teak frame.

Materials & Quality: Crafted from premium teak wood with a soft, plush cushion and integrated back pillow for added support and comfort.

Design & Finish: Finished as requested, highlighting the deep, rich tones of the wood and the stylish dark fabric for a sophisticated look.

Measurements & Fit: Generously proportioned for comfortable seating, perfect for living rooms or cozy lounge corners.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Rasakan kenyamanan yang disempurnakan dengan kursi yang dirancang untuk gaya dan relaksasi, menampilkan kain hangat dan mengundang yang melengkapi rangka jati gelapnya.

Bahan & Kualitas: Dibuat dari kayu jati premium dengan bantalan empuk yang lembut dan bantal punggung terintegrasi untuk dukungan dan kenyamanan tambahan.

Desain & Finishing: Diselesaikan sesuai permintaan, menonjolkan rona kayu yang dalam dan kaya serta kain gelap yang bergaya untuk tampilan yang elegan.

Ukuran & Kecocokan: Berukuran luas untuk duduk dengan nyaman, sempurna untuk ruang tamu atau sudut lounge yang nyaman.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, tersedia stok dan pengiriman ke seluruh dunia."
