Name,Category,ImageUrl,Description (English)
Minimalist Sofa,Sofas,https://i.ibb.co/6J7tmPDt/download-jpg.jpg,"Elevate your living space with our Minimalist Sofa, featuring a sleek white design that perfectly balances comfort and style. Set on a flat, sophisticated wooden base, this sofa combines modern elegance with timeless craftsmanship.

Features:

Exotic Teak Wood construction for durability and charm

Premium cushions for ultimate comfort

Dried export-quality wood, ready for worldwide shipping

Finish customized to your request

Perfect for contemporary living rooms, lounges, or stylish office spaces, this sofa stands out as a statement piece while remaining understated and versatile."
Elegant Teak Sofa,Sofas,https://i.ibb.co/Qv19CVyb/download-jpg.jpg,"Experience the subtle perfection of craftsmanship with a sofa designed to bring warmth and sophistication to any space.

Materials & Quality: Made from premium teak wood, paired with soft, comfortable cushions for lasting comfort.

Design & Finish: Finished according to your preference, ensuring a flawless look that complements any interior.

Measurements & Fit: Thoughtfully designed proportions to fit seamlessly in your living area while offering ample seating.

Additional Details: Crafted from dried, export-quality exotic wood, with stock readily available and worldwide shipping."
Elysian Teak Sofa,Sofas,https://i.ibb.co/YFQJzPJN/download-jpg.jpg,"Indulge in the perfect blend of comfort and modern elegance with a sofa designed to enhance any living space.

Materials & Quality: Crafted from premium teak wood with plush cushions, offering lasting comfort and support.

Design & Finish: Sleek, contemporary design with smooth lines, providing a stylish and inviting seating experience.

Measurements & Fit: Thoughtfully sized to accommodate relaxation, conversation, or quiet moments in style.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping."
Royal Teak Comfort Sofa,Sofas,https://i.ibb.co/ZzKXyJ2w/download-jpg.jpg,"Embrace the perfect blend of elegance and relaxation with a sofa designed to elevate any living space.

Materials & Quality: Crafted from premium teak wood, complemented by soft, durable cushions for enduring comfort.

Design & Finish: Finished as requested, showcasing the natural grain and rich tones of the wood for a refined appearance.

Measurements & Fit: Spacious and inviting, offering a comfortable seating experience without overwhelming your room.

Additional Details: Made from dried, export-quality exotic wood, with stock ready and worldwide shipping available."
Majestic Teak Sofa,Sofas,https://i.ibb.co/hF31GkMF/download-jpg.jpg,"Experience refined comfort and timeless craftsmanship with a sofa that brings both style and warmth to your home.

Materials & Quality: Constructed from premium teak wood, paired with plush cushions for lasting comfort.

Design & Finish: Finished to your preference, highlighting the natural beauty of the wood with a smooth, elegant look.

Measurements & Fit: Generously sized to provide a comfortable seating experience while fitting seamlessly into your living area.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping."
Warm Teak Plush Sofa,Sofas,https://i.ibb.co/gLt13mRX/download-jpg.jpg,"Sink into the inviting comfort of a sofa that combines rich, natural teak with soft, cozy cushions for a truly relaxing experience.

Materials & Quality: Made from high-quality teak wood, paired with plush, soft cushions that offer lasting comfort.

Design & Finish: Finished as requested, highlighting the warm, natural tones of the wood while maintaining a smooth, elegant look.

Measurements & Fit: Generously sized to provide a comfortable seating area without overpowering your living space.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping."
Teak Wood Armchair,Side Chairs,https://i.ibb.co/GvLHKk8X/download-jpg.jpg,"Add timeless elegance to any space with our Teak Wood Armchair. Crafted from exotic teak wood and complemented by a comfortable cushion, this chair combines durability with classic style. Its clean design makes it perfect as a standalone piece or as part of a seating arrangement.

Features:

Exotic teak wood construction, dried for export-quality durability

Cushioned seat for comfort

Finish customized to your request

Available for worldwide shipping

Perfect for living rooms, lounges, offices, or any space where style meets functionality."
Teak Wood Armchair with Back Support,Side Chairs,https://i.ibb.co/jZW9LWpC/download-jpg.jpg,"Experience the perfect blend of comfort and elegance with our Teak Wood Armchair, featuring a supportive backrest that cradles you like a cushion without being one. The striking contrast of white upholstery and dark teak wood creates a refined, sophisticated look that enhances any space.

Features:

Exotic teak wood construction, dried for export-quality durability

Comfortable back support, designed for long-lasting comfort

Customizable finish to suit your style

Available for worldwide shipping

Ideal for living rooms, lounges, or stylish office corners, this chair stands out as both a functional and statement piece."
Mahogany Dining Chair,Side Chairs,https://i.ibb.co/XZTXP0kp/download-jpg.jpg,"Elevate your dining experience with our Mahogany Dining Chair, crafted from exotic mahogany wood for durability and style. Featuring a luxurious grey seat and a striking dark wood frame, its square-back design adds a modern, sophisticated touch to any dining space.

Features:

Exotic mahogany wood, dried for export-quality durability

Luxurious cushioned seat in grey

Square-back design for contemporary elegance

Customizable finish to your request

Worldwide shipping available

Perfect for formal dining rooms, upscale restaurants, or stylish home interiors, these chairs combine comfort with a refined, statement-making look."
Golden Accent Teak Dining Chair,Side Chairs,https://i.ibb.co/xK4qdwJ0/download-jpg.jpg,"Experience the perfect blend of elegance and comfort with a chair that brings sophistication to your dining space.

Materials & Quality: Crafted from premium teak wood, featuring plush seating for a comfortable experience.

Design & Finish: Finished as requested, with luxurious golden accents on all four legs adding a refined touch.

Measurements & Fit: Thoughtfully designed to provide comfortable seating while complementing any dining table.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping."
Midnight Teak Armchair,Side Chairs,https://i.ibb.co/V0CMs0Mc/download-jpg.jpg,"Discover the bold elegance of a chair that combines deep, dark teak with soft cushions for a sophisticated and comfortable seating experience.

Materials & Quality: Made from premium dark teak wood, paired with plush cushions for lasting comfort.

Design & Finish: Finished as requested, showcasing the rich, natural tones of the wood for a sleek, refined look.

Measurements & Fit: Designed for individual comfort, perfect as a stylish addition to any living or lounge area.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping."
Elegant Teak Lounge Armchair,Side Chairs,https://i.ibb.co/GQNrrY1Z/download-jpg.jpg,"Experience refined comfort with a chair designed for both style and relaxation, featuring a warm, inviting fabric that complements its dark teak frame.

Materials & Quality: Crafted from premium teak wood with a soft, plush cushion and integrated back pillow for added support and comfort.

Design & Finish: Finished as requested, highlighting the deep, rich tones of the wood and the stylish dark fabric for a sophisticated look.

Measurements & Fit: Generously proportioned for comfortable seating, perfect for living rooms or cozy lounge corners.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping."
Artisan Rattan Rope Lounge Chair,Armchairs,https://i.ibb.co/20xK3nZt/download-jpg.jpg,"Elevate your home with a lounge chair that celebrates craftsmanship, elegance, and timeless design.

Materials & Quality: Handcrafted from high-quality rattan with intricately woven rope detailing along the sides, ensuring both durability and a unique aesthetic.

Design & Finish: Professionally designed with fine threading and expert finishing, offering a sophisticated, exclusive look.

Measurements & Fit: Thoughtfully sized for comfortable seating, perfect for living rooms, patios, or serene corners of your home.

Additional Details: Each piece is unique, showcasing meticulous handcrafting, and ready to transform your space with style and elegance."
Shima Rattan Lounge Chair,Armchairs,https://i.ibb.co/FL7yqJcD/download-jpg.jpg,"Bring a touch of tropical serenity into your home with a chair that combines natural materials and gentle curves for a light, inviting presence.

Materials & Quality: Crafted from natural rattan with a smooth, white base and soft, durable finish for lasting use.

Design & Finish: Features elegantly curving arms and a natural walnut finish that highlights the rattan’s beauty, creating a sweet and airy look.

Measurements & Fit: Compact yet comfortable at 56x57x77cm, perfect for creating a cozy reading nook or accent corner.

Additional Details: Designed as an occasional armchair, offering both style and relaxation in any space."
